Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Sector,Industry,About,Latest Price
CEATLTD,3890.0,3.18,2.0,14-May-25,Equity,"₹ 15,719 Cr.",31.2,12.2 %,15.8 %,Tyres,Tyres,"CEAT, established in 1958, is one of the largest tyre manufacturers and one of the fastest-growing tyre companies in India. CEAT became a part of the RPG Group in 1982. It is amongst the Top 25 best workplaces in Manufacturing by GPTW for 2022.",3905
CHOICEIN,677.65,2.89,1.0,14-May-25,Equity,"₹ 13,509 Cr.","1,620",2.05 %,3.15 %,Finance,Finance & Investments,"Incorporated in 1993, Choice International Ltd provides services like Broking & Distribution, Investment Banking, Financial services, etc.[1]",679.95
COMMITTED,247.0,0.82,1.0,14-May-25,SME,₹ 267 Cr.,58.6,9.06 %,12.6 %,Logistics,Miscellaneous,"Incorporated in 1998, Committed Cargo
Care Ltd is in the business of Custom
House Broking & Freight Forwarding
Service",247.5
CUB,194.0,1.71,1.0,14-May-25,Equity,"₹ 14,397 Cr.",12.8,12.6 %,6.86 %,Banks,Banks - Private Sector,"City Union Bank Limited is a banking company. The Bank's segments include Treasury, Corporate and Wholesale Banking, Retail Banking and Other Banking Operations.(Source : Company Web-site )",192.11
DALBHARAT,2060.0,2.66,1.0,14-May-25,Equity,"₹ 38,550 Cr.",203,2.43 %,2.63 %,Cement,Cement - South India,Dalmia Bharat is engaged in the business of Manufacturing and Selling of Cement. The company was started in 1939 and is the 4th largest cement manufacturer by installed capacity in India.,2081
DRL,30.4,3.05,9.0,14-May-25,SME,₹ 23.5 Cr.,Book Value,-1.32 %,4.64 %,Construction,Construction,"Incorporated in 2002, Dhanuka Realty Ltd is in the business of real estate development and construction[1]",30.4
FORCEMOT,10430.0,-1.03,2.0,14-May-25,Equity,"₹ 13,716 Cr.",25.2,20.1 %,29.1 %,Automobile,Automobiles - LCVs / HCVs,"Force Motors Ltd was established in 1958, is the flagship company of the Abhay Firodia group. The company is in the business of manufacturing fully vertically integrated small and light CVs, multi-utility vehicles, and agricultural tractors, which it supplies to various countries in the Middle East, Asia, Latin America, and Africa. It was known as Bajaj Tempo till 2005",11070
GABRIEL,638.75,2.39,1.0,14-May-25,Equity,"₹ 9,201 Cr.",43.7,19.6 %,26.7 %,Auto Ancillaries,Auto Ancillaries,"Gabriel India is part of ANAND Group. The Company has established a significant presence across all automotive customer segments, including OEMs, Aftermarket, and exports. Company manufactures over 500 models of ride control products. Its products include shock absorbers, struts, front forks and others.",626.5
GATDVR-RE,0.08,14.29,1.0,14-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.09
GATECH-RE1,0.08,14.29,1.0,14-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.09
GODFRYPHLP,8940.0,-0.59,1.0,14-May-25,Equity,"₹ 46,433 Cr.",45.3,20.9 %,24.1 %,Tobacco Products,Cigarettes,"Godfrey Phillips India is one of the leading FMCG Companies in India - flagship company of KK Modi Group. They have many iconic cigarette brands like Four Square, Red & White, and Cavanders to its name. It also have an exclusive sourcing and supply agreement with Philip Morris International to manufacture and distribute the renowned brand in India.",9215
HCG,622.35,7.34,23.0,14-May-25,Equity,"₹ 8,663 Cr.",275,3.64 %,6.93 %,Healthcare,Healthcare,Healthcare Global Enterprises Ltd is engaged in setting up and managing hospitals and medical diagnostic services including scientific testing and consultancy services in the pharmaceutical and medical sector.,609
HPTL,132.0,-1.12,1.0,14-May-25,SME,₹ 157 Cr.,18.3,34.7 %,18.6 %,Retail,Trading,"Founded in March 2011, HP Telecom India Limited is a distributor of mobile phones, accessories, and home appliances[1]",127.6
INDIAGLYCO,1730.0,5.33,1.0,14-May-25,Equity,"₹ 5,341 Cr.",31.9,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1757.9
JKCEMENT,5288.0,1.65,19.0,14-May-25,Equity,"₹ 40,809 Cr.",59.8,16.8 %,16.5 %,Cement,Cement - North India,The Company is engaged in the manufacturing and selling of Cement and Cement related products with over 4 decades of experience in cement manufacturing. It is an affiliate of the multi-disciplinary industrial conglomerate JK Organisation.,5259
JUBLCPL,1570.0,1.54,89.0,14-May-25,Equity,"₹ 2,387 Cr.",45.6,%,%,Chemicals,Chemicals,"Incorporated in 2008, Jubilant Agri and Consumer Products Ltd manufactures and sells Performance Polymers and Chemicals, P&K Fertilizers, and Agri Nutrients",1559
KANPRPLA,175.26,20.0,97.0,14-May-25,Equity,₹ 407 Cr.,39.4,0.18 %,4.74 %,Packaging,Packaging,"Incorporated in 1971, Kanpur Plastipack Ltd manufactures HDPE /PP Woven Sacks, PP Box Bags, FIBC, Fabrics and High Tenacity PP MFY[1]",172.39
KARNIKA,689.9,1.77,51.0,14-May-25,SME,₹ 852 Cr.,53.5,28.4 %,21.1 %,Textiles,Textiles - Products,"Incorporated in 2017, Karnika Industries Ltd manufactures and deals with ready-made garments for children[1]",685.9
KRISHANA,354.05,-2.34,1.0,14-May-25,Equity,"₹ 2,152 Cr.",24.8,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",360.1
MANORAMA,1498.0,7.91,2.0,14-May-25,Equity,"₹ 8,898 Cr.",79.5,28.0 %,23.0 %,FMCG,Food - Processing - Indian,Manorama Industries is engaged in manufacturing specialty fats and butter made from exotic seeds and nuts. [1],1463
MASTER,409.7,5.0,1.0,14-May-25,SME,₹ 164 Cr.,40.0,15.6 %,21.7 %,Plastic products,Plastics Products,"Incorporated in 1999, Master Components Ltd is in the business of manufacturing of Plastic Engineering Components and sub assemblies[1]",409.75
MAZDOCK,3098.0,3.18,12.0,14-May-25,Equity,"₹ 1,24,211 Cr.",46.8,37.8 %,50.6 %,Aerospace & Defence,Miscellaneous,"Mazagon Dock Shipbuilders Limited (MDL), Mumbai, established in 1774, is a prominent shipyard in India. Initially a small dry dock, MDL has evolved into a renowned shipbuilding company. It has constructed 801 vessels since 1960, including warships, submarines, cargo/passenger ships, and offshore platforms.",3174
MFSL,1340.0,3.87,12.0,14-May-25,Equity,"₹ 46,344 Cr.",Book Value,-0.14 %,-0.13 %,Finance,Finance & Investments,"Max Financial Services Limited incorporated on 24 February, 1988 is part of India’s leading business conglomerate – the Max Group. Company is primarily engaged in growing and nurturing business investments and providing management advisory services to Indian group companies. It owns and actively manages an 81.83% majority stake in Max Life Insurance, India’s largest non-bank life insurer and 4th largest private life insurance company.",1357.4
MONEXT50,64.95,5.05,,14-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,64.56
NAZARA,1216.0,1.72,1.0,14-May-25,Equity,"₹ 10,593 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1244.9
PARADEEP,153.4,3.97,15.0,14-May-25,Equity,"₹ 12,495 Cr.",22.7,14.5 %,13.9 %,Fertilizers,Fertilizers,"Incorporated in 1981, Paradeep Phosphates Limited is a manufacturer of non-urea fertilizers and India’s second largest private sector phosphatic company. The company is engaged in manufacturing, trading, distribution, and sales of a variety of complex fertilizers such as DAP, three grades of Nitrogen-Phosphorus-Potassium (namely NPK-10, NPK-12, and NP-20), Zypmite, Phospho-gypsum, and Hydroflorosilicic Acid.",156.69
POWERINDIA,16800.0,5.16,215.0,14-May-25,Equity,"₹ 74,650 Cr.",238,12.7 %,17.8 %,Capital Goods - Electrical Equipment,Electric Equipment,"Hitachi Energy India Ltd (formerly known as ABB Power Products and Systems India Ltd.) was created in 2019 as a Joint Venture between Hitachi and ABB's Power Grids. The company serves utility and industry customers, with a complete range of engineering, products, solutions, and services in areas of Power technology.",15630
PRIVISCL,2337.0,5.67,1.0,14-May-25,Equity,"₹ 9,119 Cr.",48.2,18.7 %,17.9 %,Chemicals,Chemicals,"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances.",2330
RMDRIP,534.0,3.52,1.0,14-May-25,SME,"₹ 1,325 Cr.",55.4,39.7 %,44.6 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",535
SBFC,109.1,8.87,19.0,14-May-25,Equity,"₹ 11,881 Cr.",34.4,11.6 %,11.5 %,Finance,Finance & Investments,"Incorporated in 2008, SBFC Finance Limited is a systemically important, NBFC (NBFC-ND-SI) offering Secured MSME Loans and Loans against Gold[1]",108.5
SHRIPISTON,2436.0,3.17,240.0,14-May-25,Equity,"₹ 10,797 Cr.",21.7,22.8 %,27.1 %,Auto Ancillaries,Auto Ancillaries,"Shriram Pistons & Rings Ltd is primarily engaged in the manufacturing of pistons, piston pins, piston rings and engine valves for various automotive companies in the domestic and export markets.",2439
SOLARINDS,13730.0,1.02,2.0,14-May-25,Equity,"₹ 1,24,234 Cr.",164,28.9 %,34.1 %,Aerospace & Defence,Chemicals,"Solar Industries is one of the largest domestic manufacturers of bulk and cartridge explosives, detonators, detonating cords and components which find applications in the mining, infrastructure and construction industries.
Company manufactures high-energy explosives, delivery systems, ammunition filling and pyros fuses for the defence sector.",13891
SUVEN,183.16,6.9,1.0,14-May-25,Equity,"₹ 4,020 Cr.",Book Value,-5.72 %,-5.72 %,Healthcare,Miscellaneous,"Suven Life Sciences Ltd is a clinical-stage biopharmaceutical company focused on the acquisition, development and commercialisation of novel therapeutics for the treatment of neurodegenerative disorders.",184.41
TDPOWERSYS,475.95,2.59,139.0,14-May-25,Equity,"₹ 7,422 Cr.",47.6,20.3 %,27.8 %,Capital Goods - Electrical Equipment,Electric Equipment,TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications.,486.8
TRANSTEEL,127.0,-1.4,1.0,14-May-25,SME,₹ 259 Cr.,22.3,22.0 %,23.5 %,Consumer Durables,Miscellaneous,"Incorporated in February 1995, Transteel is a furniture company catering to corporate and B2B sectors.[1]",128.1
VADILALIND,7288.5,7.36,22.0,14-May-25,Equity,"₹ 5,236 Cr.",44.9,28.4 %,28.3 %,FMCG,Food - Processing - Indian,"Vadilal was started as a soda company in 1907, the founder Vadilal Gandhi used to make ice cream by the traditional Kothi method. Vadilal Gandhi passed on the business to his son, Ranchod Lal Gandhi, who ran a one-man operation with a hand-cranked machine, started a small retail outlet in 1926.",7044
ABINFRA,104.11,-1.31,1.0,15-May-25,Equity,₹ 666 Cr.,Book Value,20.0 %,22.3 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2011, A B Infrabuild Ltd construction of roads, railways, branches and sidings, bridges, etc.[1]",104.11
AIIL,2149.0,0.63,1.0,15-May-25,Equity,"₹ 36,456 Cr.",8.59,34.1 %,31.2 %,Finance,Finance & Investments,"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc.",2149
ANURAS,963.0,7.15,7.0,15-May-25,Equity,"₹ 10,555 Cr.",168,4.46 %,7.29 %,Chemicals,Chemicals,"Anupam Rasayan India Ltd is engaged in manufacturing of specialty chemicals, which are sold in local as well as exported to other countries.[1]",963
APLAPOLLO,1776.0,1.77,1.0,15-May-25,Equity,"₹ 49,304 Cr.",147,11.2 %,15.3 %,Steel,Steel - Large,"APL Apollo Tubes Limited (APL Apollo) is one of India’s leading branded steel products manufacturers. Headquartered at Delhi NCR, the Company runs 10 manufacturing facilities churning out over 1,500 varieties of MS Black Pipes, Galvanised Tubes, Pre-Galvanised Tubes, Structural ERW Steel Tubes and Hollow Sections to serve industry applications like urban infrastructures, housing, irrigation, solar plants, greenhouses and engineering.",1776
APRAMEYA,157.9,4.09,1.0,15-May-25,SME,₹ 301 Cr.,18.7,36.8 %,31.1 %,Healthcare,Healthcare,"Incorporated in September 2003, Aprameya Engineering Limited specializes in installing and maintaining Intensive Care Units (ICU), Neonatal Intensive Care Units (NICU), Pediatric Intensive Care Units (PICU), Operation Theatres, and prefabricated structure wards in hospitals and medical care centers.",157.9
ARSSINFRA,49.65,4.99,1.0,15-May-25,Equity,₹ 113 Cr.,78.9,%,-2.32 %,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects",49.65
ARUNAYA,42.2,4.98,1.0,15-May-25,SME,₹ 74.0 Cr.,18.1,44.1 %,32.5 %,Chemicals,Dyes And Pigments,"Incorporated in 2010, Arunaya Organics Limited is engaged in the manufacturing and exporting of specialty dyes and intermediates.[1]",42.2
ASTERDM,579.95,1.09,1.0,15-May-25,Equity,"₹ 29,052 Cr.",5.02,5.55 %,7.37 %,Healthcare,Healthcare,"Aster DM Healthcare Limited is one of the largest integrated private healthcare service providers operating in GCC (Gulf Cooperation Council) countries and an emerging player in India. With an inherent emphasis on clinical excellence, it is one of the few entities in the world with a strong presence across primary, secondary, tertiary and quaternary healthcare.",579.95
AVANTEL-RE,67.9,-12.02,,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,67.9
BASML-RE1,3.96,31.56,2.0,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,3.96
BEL,350.0,1.64,1.0,15-May-25,Equity,"₹ 2,56,098 Cr.",51.6,27.0 %,35.7 %,Aerospace & Defence,Electronics - Components,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",350
CAMLINFINE,198.0,8.17,1.0,15-May-25,Equity,"₹ 3,702 Cr.",Book Value,-7.23 %,0.37 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.,198
CARERATING,1535.9,0.92,189.0,15-May-25,Equity,"₹ 4,627 Cr.",31.3,18.3 %,24.1 %,Credit Rating Agencies,Miscellaneous,CARE Ratings is a leading credit rating agency of India. The Company provides various credit ratings that helps corporates to raise capital for their various requirements and assists the investors to form an informed investment decision based on the credit risk and their own riskreturn expectations.(Source : 202003-01 Annual Report Page No:134),1535.9
CHOICEIN,679.95,0.38,1.0,15-May-25,Equity,"₹ 13,566 Cr.","1,627",2.05 %,3.15 %,Finance,Finance & Investments,"Incorporated in 1993, Choice International Ltd provides services like Broking & Distribution, Investment Banking, Financial services, etc.[1]",679.95
COROMANDEL,2470.0,2.78,2.0,15-May-25,Equity,"₹ 72,552 Cr.",38.9,18.3 %,25.6 %,Fertilizers,Fertilizers,"Coromandel International Ltd is one of India's leading agri solutions provider. It offers a diverse range of products and services across the farming value chain. It specializes in fertilizers, crop protein, bio pesticide, specialty nutrients, organic fertilizers, etc.",2470
DALBHARAT,2081.0,1.21,1.0,15-May-25,Equity,"₹ 39,155 Cr.",206,2.43 %,2.63 %,Cement,Cement - South India,Dalmia Bharat is engaged in the business of Manufacturing and Selling of Cement. The company was started in 1939 and is the 4th largest cement manufacturer by installed capacity in India.,2081
DDEVPLSTIK,314.9,9.51,23.0,15-May-25,Equity,"₹ 3,275 Cr.",16.8,31.5 %,41.9 %,Chemicals,Chemicals,"Incorporated in 2020, DDev Plastiks Industries Ltd manufactures Plastic Compounds[1]",314.9
DRL,30.4,0.0,1.0,15-May-25,SME,₹ 23.5 Cr.,Book Value,-1.32 %,4.64 %,Construction,Construction,"Incorporated in 2002, Dhanuka Realty Ltd is in the business of real estate development and construction[1]",30.4
ELGNZ,146.75,2.09,21.0,15-May-25,SME,₹ 332 Cr.,29.1,26.6 %,23.5 %,Miscellaneous,Miscellaneous,"Incorporated in 1996, Eleganz Interiors Limited is engaged in the business of Interior solutions for corporations, laboratories, airport lounges, etc.[1]",146.75
EQUAL50,313.2,2.7,,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,313.2
FORCEMOT,11070.0,6.26,1.0,15-May-25,Equity,"₹ 14,566 Cr.",26.7,20.1 %,29.1 %,Automobile,Automobiles - LCVs / HCVs,"Force Motors Ltd was established in 1958, is the flagship company of the Abhay Firodia group. The company is in the business of manufacturing fully vertically integrated small and light CVs, multi-utility vehicles, and agricultural tractors, which it supplies to various countries in the Middle East, Asia, Latin America, and Africa. It was known as Bajaj Tempo till 2005",11070
GATDVR-RE,0.09,12.5,1.0,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.09
GATECH-RE1,0.09,12.5,1.0,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,0.09
GODFRYPHLP,9215.0,2.77,1.0,15-May-25,Equity,"₹ 47,860 Cr.",46.7,20.9 %,24.1 %,Tobacco Products,Cigarettes,"Godfrey Phillips India is one of the leading FMCG Companies in India - flagship company of KK Modi Group. They have many iconic cigarette brands like Four Square, Red & White, and Cavanders to its name. It also have an exclusive sourcing and supply agreement with Philip Morris International to manufacture and distribute the renowned brand in India.",9215
ICICIBANK,1451.0,1.74,3.0,15-May-25,Equity,"₹ 10,35,840 Cr.",21.9,17.9 %,7.62 %,Banks,Banks - Private Sector,"ICICI Bank is the second-largest private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.The ICICI group has presence in businesses like life and general insurance, housing finance, primary dealership, etc, through its subsidiaries and associates.",1451
INDIAGLYCO,1757.9,2.57,1.0,15-May-25,Equity,"₹ 5,421 Cr.",32.3,9.00 %,11.1 %,Alcoholic Beverages,Breweries & Distilleries,"Established in 1988, India Glycols Ltd. is engaged in the manufacturing of green technology-based bulk, specialty & performance chemicals, and natural gums, spirits, industrial gases, sugar, and nutraceuticals.",1757.9
ITTL,56.3,1.99,2.0,15-May-25,SME,₹ 56.3 Cr.,Book Value,%,-26.6 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]",56.3
JKCEMENT,5259.0,-0.93,1.0,15-May-25,Equity,"₹ 40,448 Cr.",59.2,16.8 %,16.5 %,Cement,Cement - North India,The Company is engaged in the manufacturing and selling of Cement and Cement related products with over 4 decades of experience in cement manufacturing. It is an affiliate of the multi-disciplinary industrial conglomerate JK Organisation.,5259
KANPRPLA,172.39,-1.58,1.0,15-May-25,Equity,₹ 417 Cr.,40.4,0.18 %,4.74 %,Packaging,Packaging,"Incorporated in 1971, Kanpur Plastipack Ltd manufactures HDPE /PP Woven Sacks, PP Box Bags, FIBC, Fabrics and High Tenacity PP MFY[1]",172.39
KILITCH,423.5,1.41,15.0,15-May-25,Equity,₹ 662 Cr.,28.3,7.98 %,10.2 %,Pharmaceuticals,Pharmaceuticals - Indian - Formulations,"Incorporated in 1978, Kilitch Drugs Ltd is engaged in the operation and management of Pharmaceutical Products[1]",423.5
KRISHANA,360.1,1.34,1.0,15-May-25,Equity,"₹ 2,193 Cr.",25.3,25.3 %,21.7 %,Fertilizers,Fertilizers,"Incorporated in 2004, Krishana Phoschem Ltd is in the business of manufacturing of fertilizers & chemicals[1]",360.1
LLOYDS-RE1,18.11,-25.72,,15-May-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,18.11
MAHICKRA,137.4,20.0,134.0,15-May-25,SME,₹ 111 Cr.,57.7,3.25 %,5.96 %,Chemicals,Dyes And Pigments,"Incorporated in 1997, Mahickra Chemicals Ltd manufacturers, trades & exports Dyes and Chemicals[1]",137.4
MANGCHEFER,245.48,2.73,9.0,15-May-25,Equity,"₹ 2,916 Cr.",20.3,14.3 %,14.9 %,Fertilizers,Fertilizers,"Mangalore Chemicals and Fertilizers Limited (MCF) is primarily engaged in the manufacture, purchase, and sale of fertilizers. It is a subsidiary of Zuari Fertilisers and Chemicals Limited, an Adventz Group.",245.48
MANORAMA,1463.0,-2.16,1.0,15-May-25,Equity,"₹ 8,738 Cr.",78.0,28.0 %,23.0 %,FMCG,Food - Processing - Indian,Manorama Industries is engaged in manufacturing specialty fats and butter made from exotic seeds and nuts. [1],1463
MASTER,409.75,0.01,1.0,15-May-25,SME,₹ 164 Cr.,40.0,15.6 %,21.7 %,Plastic products,Plastics Products,"Incorporated in 1999, Master Components Ltd is in the business of manufacturing of Plastic Engineering Components and sub assemblies[1]",409.75
MFSL,1357.4,1.43,1.0,15-May-25,Equity,"₹ 46,755 Cr.",Book Value,-0.14 %,-0.13 %,Finance,Finance & Investments,"Max Financial Services Limited incorporated on 24 February, 1988 is part of India’s leading business conglomerate – the Max Group. Company is primarily engaged in growing and nurturing business investments and providing management advisory services to Indian group companies. It owns and actively manages an 81.83% majority stake in Max Life Insurance, India’s largest non-bank life insurer and 4th largest private life insurance company.",1357.4
NAZARA,1244.9,1.94,1.0,15-May-25,Equity,"₹ 10,946 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1244.9
PARADEEP,156.69,2.34,1.0,15-May-25,Equity,"₹ 12,805 Cr.",23.2,14.5 %,13.9 %,Fertilizers,Fertilizers,"Incorporated in 1981, Paradeep Phosphates Limited is a manufacturer of non-urea fertilizers and India’s second largest private sector phosphatic company. The company is engaged in manufacturing, trading, distribution, and sales of a variety of complex fertilizers such as DAP, three grades of Nitrogen-Phosphorus-Potassium (namely NPK-10, NPK-12, and NP-20), Zypmite, Phospho-gypsum, and Hydroflorosilicic Acid.",156.69
PRIVISCL,2330.0,-0.22,1.0,15-May-25,Equity,"₹ 9,158 Cr.",48.4,18.7 %,17.9 %,Chemicals,Chemicals,"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances.",2330
RMDRIP,535.0,0.87,1.0,15-May-25,SME,"₹ 1,338 Cr.",55.9,39.7 %,44.6 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",535
SHANKARA,734.7,2.43,316.0,15-May-25,Equity,"₹ 1,783 Cr.",27.0,13.0 %,19.7 %,Retail,Trading,Shankara Building Products Ltd is one of the India's leading organized retailers of home improvement and building products in India. It caters to a large customer base spread across various end-user segments in urban and semi-urban markets through a retail led multi-channel approach.,734.7
SHEETAL,116.0,5.31,15.0,15-May-25,SME,₹ 128 Cr.,62.2,10.0 %,12.8 %,FMCG,Food - Processing - Indian,"Incorporated in 2015, Sheetal Universal Ltd is engaged in the manufacturing of Agricultural Products[1]",116
SHREECEM,31405.0,2.56,24.0,15-May-25,Equity,"₹ 1,13,097 Cr.",94.5,5.75 %,7.24 %,Cement,Cement - North India,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA.,31405
SHRIPISTON,2439.0,-0.27,1.0,15-May-25,Equity,"₹ 10,915 Cr.",21.9,22.8 %,27.1 %,Auto Ancillaries,Auto Ancillaries,"Shriram Pistons & Rings Ltd is primarily engaged in the manufacturing of pistons, piston pins, piston rings and engine valves for various automotive companies in the domestic and export markets.",2439
SOLARINDS,13891.0,1.22,1.0,15-May-25,Equity,"₹ 1,25,535 Cr.",166,28.9 %,34.1 %,Aerospace & Defence,Chemicals,"Solar Industries is one of the largest domestic manufacturers of bulk and cartridge explosives, detonators, detonating cords and components which find applications in the mining, infrastructure and construction industries.
Company manufactures high-energy explosives, delivery systems, ammunition filling and pyros fuses for the defence sector.",13891
SUVEN,184.41,0.16,1.0,15-May-25,Equity,"₹ 4,028 Cr.",Book Value,-5.72 %,-5.72 %,Healthcare,Miscellaneous,"Suven Life Sciences Ltd is a clinical-stage biopharmaceutical company focused on the acquisition, development and commercialisation of novel therapeutics for the treatment of neurodegenerative disorders.",184.41
TAC,1437.95,9.17,43.0,15-May-25,SME,"₹ 1,493 Cr.",114,38.5 %,39.1 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2016, TAC Infosec
Ltd is a global cybersecurity company specializing in vulnerability management[1]",1437.95
TANKUP,198.0,15.79,15.0,15-May-25,SME,₹ 105 Cr.,40.7,107 %,62.8 %,Engineering,Engineering,"Incorporated in 2020, Tankup Engineers
Ltd designs and manufactures mobility
and storage solutions for special-purpose applications",198
TDPOWERSYS,486.8,2.38,1.0,15-May-25,Equity,"₹ 7,613 Cr.",48.8,20.3 %,27.8 %,Capital Goods - Electrical Equipment,Electric Equipment,TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications.,486.8
TERASOFT,273.09,5.0,103.0,15-May-25,Equity,₹ 342 Cr.,43.3,3.78 %,7.79 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Tera Software Ltd is in
the business of IT & Integrated related services",273.09
